date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:18:14	17645/17645	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Dec%202020%2021:18:12%20GMT	http://lalaynbaluch.co.uk/2011/michael-beckley-buried-child/	lalaynbaluch.co.uk/2011/michael-beckley-buried-child/index.html	(from http://lalaynbaluch.co.uk/)
21:18:15	18598/18598	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Dec%202020%2021:18:14%20GMT	http://lalaynbaluch.co.uk/2011/janie-dee-rupert-wickham/	lalaynbaluch.co.uk/2011/janie-dee-rupert-wickham/index.html	(from http://lalaynbaluch.co.uk/)
21:18:16	7832/7832	---M--	200	added ('OK')	image/png	date:Tue,%2021%20Feb%202012%2002:03:14%20GMT	http://lalaynbaluch.co.uk/wp-content/plugins/simple-post-thumbnails/timthumb.php?src=/wp-content/thumbnails/332.jpg&w=200&h=200&zc=1&ft=jpg	lalaynbaluch.co.uk/wp-content/plugins/simple-post-thumbnails/timthumb511f.png	(from http://lalaynbaluch.co.uk/)
21:18:16	15560/15560	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Dec%202020%2021:18:15%20GMT	http://lalaynbaluch.co.uk/2011/heaver-magazine-autumn/	lalaynbaluch.co.uk/2011/heaver-magazine-autumn/index.html	(from http://lalaynbaluch.co.uk/)
21:18:16	5148/5148	---M--	200	added ('OK')	image/png	date:Fri,%2003%20Feb%202012%2013:53:59%20GMT	http://lalaynbaluch.co.uk/wp-content/plugins/simple-post-thumbnails/timthumb.php?src=/wp-content/thumbnails/326.jpg&w=200&h=200&zc=1&ft=jpg	lalaynbaluch.co.uk/wp-content/plugins/simple-post-thumbnails/timthumb543d.png	(from http://lalaynbaluch.co.uk/)
21:18:17	14650/14650	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Dec%202020%2021:18:16%20GMT	http://lalaynbaluch.co.uk/2011/gender-equality-theatre-mandatory/	lalaynbaluch.co.uk/2011/gender-equality-theatre-mandatory/index.html	(from http://lalaynbaluch.co.uk/)
21:18:18	8830/8830	---M--	200	added ('OK')	image/png	date:Fri,%2003%20Feb%202012%2013:53:59%20GMT	http://lalaynbaluch.co.uk/wp-content/plugins/simple-post-thumbnails/timthumb.php?src=/wp-content/thumbnails/293.jpg&w=200&h=200&zc=1&ft=jpg	lalaynbaluch.co.uk/wp-content/plugins/simple-post-thumbnails/timthumb2c4a.png	(from http://lalaynbaluch.co.uk/)
21:18:18	14986/14986	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Dec%202020%2021:18:17%20GMT	http://lalaynbaluch.co.uk/2011/save-national-association-youth-theatres/	lalaynbaluch.co.uk/2011/save-national-association-youth-theatres/index.html	(from http://lalaynbaluch.co.uk/)
21:18:19	9265/9265	---M--	200	added ('OK')	image/png	date:Sat,%2023%20Feb%202013%2023:23:03%20GMT	http://lalaynbaluch.co.uk/wp-content/plugins/simple-post-thumbnails/timthumb.php?src=/wp-content/thumbnails/268.jpg&w=200&h=200&zc=1&ft=jpg	lalaynbaluch.co.uk/wp-content/plugins/simple-post-thumbnails/timthumb3c0d.png	(from http://lalaynbaluch.co.uk/)
21:18:19	16102/16102	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Dec%202020%2021:18:18%20GMT	http://lalaynbaluch.co.uk/2011/hartshorn-hook-theatre-producers/	lalaynbaluch.co.uk/2011/hartshorn-hook-theatre-producers/index.html	(from http://lalaynbaluch.co.uk/)
